vel,ccf
-100.0,-0.0030590409240288143
-99.0,-0.002840877082467313
-98.0,-0.0030211562213940044
-97.0,0.00010895311444913958
-96.0,0.005119916057887218
-95.0,0.01614801967665573
-94.0,0.010692914564211682
-93.0,0.016880682895880822
-92.0,0.019195227332776003
-91.0,0.015991849408819828
-90.0,0.014154554380990591
-89.0,0.008886148876822096
-88.0,0.007430070241137806
-87.0,0.005268276846770432
-86.0,0.0009920132210061786
-85.0,-0.005495857940903431
-84.0,-0.0072394069129916964
-83.0,-0.016804310793245555
-82.0,-0.010903402114847884
-81.0,-0.001878212857498899
-80.0,-0.008848698505196633
-79.0,-0.008598198156410348
-78.0,-0.00682106288018508
-77.0,-0.005742131836562948
-76.0,-0.010164953256235579
-75.0,-0.007542749148794707
-74.0,-0.005781301339394113
-73.0,-0.00441150759664994
-72.0,-0.002501917578820942
-71.0,-0.005465518891575448
-70.0,-0.008337052766669184
-69.0,-0.0057891196980691464
-68.0,-0.003116549664739912
-67.0,-0.008253627174657878
-66.0,-0.004921967998225113
-65.0,-0.009916148255182174
-64.0,-0.0061196546838837435
-63.0,-0.005399413661238493
-62.0,-0.006030509733852163
-61.0,-0.005322246473269326
-60.0,-0.01208699933456971
-59.0,-0.004932765687766124
-58.0,-0.0037155862717293854
-57.0,0.0005953794498775762
-56.0,0.0018702453896383801
-55.0,0.0066169023502659925
-54.0,0.004637500538149148
-53.0,0.009118823642671818
-52.0,0.011504099971504292
-51.0,0.01415848566213568
-50.0,0.013071067687227511
-49.0,0.007586866421993785
-48.0,0.0022944921329731763
-47.0,-0.00032366247507695234
-46.0,-0.000533078625377055
-45.0,-0.00013624650832881613
-44.0,-0.0005064060055821815
-43.0,-0.00010895311444913958
-42.0,0.0038470280105453915
-41.0,0.0028741752963979267
-40.0,0.004634615498933242
-39.0,0.0046771850438543615
-38.0,0.0043086210449098
-37.0,0.0031855456516009066
-36.0,0.006777514721615949
-35.0,0.006516333976967877
-34.0,0.009209254278905805
-33.0,0.006013971284241509
-32.0,0.011270005530741537
-31.0,0.01025960678910445
-30.0,0.0049531410889619865
-29.0,0.002263709189232417
-28.0,0.003057006633683107
-27.0,-0.0010076897943235366
-26.0,-0.0019084552917670722
-25.0,0.0010044244972559416
-24.0,0.005325227871319338
-23.0,0.00715984800805277
-22.0,0.0032403995570272487
-21.0,0.001919132865855662
-20.0,-0.0025645109160294666
-19.0,-0.0018838958409936393
-18.0,-0.002679379857541228
-17.0,0.0023043026415932935
-16.0,0.0026187218520936605
-15.0,0.0008593036028633656
-14.0,0.00042798576015938214
-13.0,0.0026149449517010627
-12.0,-0.0022761218447351662
-11.0,0.010788682425310493
-10.0,0.017922467961717713
-9.0,0.030838088431523945
-8.0,0.047105628155655166
-7.0,0.05730161758315151
-6.0,0.07443340641817439
-5.0,0.08793944549257093
-4.0,0.0926977144035347
-3.0,0.09219800777869629
-2.0,0.08217999360227997
-1.0,0.07503169775977211
0.0,0.058190573143367834
1.0,0.04302587159097572
2.0,0.03669264678951848
3.0,0.03487106680371227
4.0,0.03758144431787821
5.0,0.03581834651490888
6.0,0.03890310315115187
7.0,0.036946598984526596
8.0,0.040808565238078784
9.0,0.04988270254381684
10.0,0.0654898569580826
11.0,0.07689318105320031
12.0,0.09956020825046887
13.0,0.13186518122642316
14.0,0.1582893633652323
15.0,0.19339857260480459
16.0,0.2336167021664891
17.0,0.2567329518039755
18.0,0.2845168043510655
19.0,0.2963761246251166
20.0,0.2940042357735207
21.0,0.27964350078308314
22.0,0.249002246073326
23.0,0.21808489412994136
24.0,0.17840222754883478
25.0,0.13595830614141508
26.0,0.10821098891134803
27.0,0.08306936624233828
28.0,0.0535348320384751
29.0,0.0351329576609282
30.0,0.03160564584480713
31.0,0.01959561800705441
32.0,0.017651329266273535
33.0,0.013294129434861749
34.0,0.013107533456946176
35.0,0.013463313836997105
36.0,0.009253197152028724
37.0,0.0006181144989306532
38.0,0.0006980363423897372
39.0,0.0017288093076254403
40.0,0.0040821290231352406
41.0,0.0010813703118151552
42.0,-0.006628795064724392
43.0,-0.014121935850231151
44.0,-0.01635168924935803
45.0,-0.02056444717987868
46.0,-0.02089178931118458
47.0,-0.020869899320663673
48.0,-0.02001801860104204
49.0,-0.017555927065756927
50.0,-0.019777217850661534
51.0,-0.02500943387737438
52.0,-0.024964776465908493
53.0,-0.020559097765429996
54.0,-0.022997641049850033
55.0,-0.025238313892741213
56.0,-0.02349836833789351
57.0,-0.024342064237826644
58.0,-0.02719592251128404
59.0,-0.022003400733723436
60.0,-0.020872641878979192
61.0,-0.016888530326745282
62.0,-0.015069644276699393
63.0,-0.01408802988537921
64.0,-0.008238464194888523
65.0,-0.006569785285717618
66.0,-0.005959018454206863
67.0,-0.0020609717153520987
68.0,-0.0045963986315548655
69.0,-0.00983296838564788
70.0,-0.011771952329419869
71.0,-0.010504229435581929
72.0,-0.007308826984201627
73.0,-0.010507866496492886
74.0,-0.011471977753180804
75.0,-0.011309709572338476
76.0,-0.011051149119303716
77.0,-0.014652061735573076
78.0,-0.007352423074866901
79.0,-0.009016886489002951
80.0,-0.013215106515064884
81.0,-0.012607195844156607
82.0,-0.018129601256484093
83.0,-0.015359727568608567
84.0,-0.013837531204363651
85.0,-0.01688479296877725
86.0,-0.01968592573449348
87.0,-0.0166010164513819
88.0,-0.015776258487334306
89.0,-0.02015127869358109
90.0,-0.0168895974889463
91.0,-0.020041733555433844
92.0,-0.02176826817825129
93.0,-0.018607526722651632
94.0,-0.02003751591298849
95.0,-0.019013224996102196
96.0,-0.021158605688538036
97.0,-0.02247405239488122
98.0,-0.02707453280829796
99.0,-0.025492635635955913
