vel,ccf
-69.0,0.0004885795882719505
-68.0,0.00042754883459213047
-67.0,0.00011962392533520615
-66.0,-0.000395955123193425
-65.0,-0.0008608327947614413
-64.0,-0.0013904879389158315
-63.0,-0.0012983851663342007
-62.0,-0.001356163159480209
-61.0,-0.0011199848104855286
-60.0,-0.0009257725435986731
-59.0,-0.001630964626950204
-58.0,-0.001484719962371978
-57.0,-0.0011723958137964795
-56.0,-0.0011511526100820586
-55.0,-0.0007351129160825722
-54.0,-0.0012551930165539222
-53.0,-0.0012336149695279788
-52.0,-0.0012469844849177679
-51.0,-0.0019053163449769322
-50.0,-0.0016895677293583778
-49.0,-0.0029810731550375244
-48.0,-0.0030543371723472136
-47.0,-0.00358216932339913
-46.0,-0.004284550603334197
-45.0,-0.004050723919574062
-44.0,-0.004939304101035508
-43.0,-0.004783829302232125
-42.0,-0.004540289741474853
-41.0,-0.005026707093604713
-40.0,-0.0048750293351312625
-39.0,-0.004761050663512505
-38.0,-0.005388452709708457
-37.0,-0.005064829777439633
-36.0,-0.005312912363836176
-35.0,-0.004093735496151059
-34.0,-0.004433704073802471
-33.0,-0.0041737430563183325
-32.0,-0.004306884510586032
-31.0,-0.005419694885746252
-30.0,-0.006106991827840287
-29.0,-0.006824821464514743
-28.0,-0.007573061571416758
-27.0,-0.00848856151102815
-26.0,-0.008962487007081575
-25.0,-0.009151547952211752
-24.0,-0.009928590936585302
-23.0,-0.010904325887996663
-22.0,-0.011970030222947917
-21.0,-0.01279481982034034
-20.0,-0.012817619968197518
-19.0,-0.013289902733968472
-18.0,-0.013359156398971034
-17.0,-0.012815277548667115
-16.0,-0.011280282581857266
-15.0,-0.00895608165594949
-14.0,-0.003879982340474583
-13.0,0.0025951558852251836
-12.0,0.012520834876219335
-11.0,0.026586464977735275
-10.0,0.04050501397190415
-9.0,0.05853094216258441
-8.0,0.07745696223897248
-7.0,0.09396182743410175
-6.0,0.1127073389847426
-5.0,0.1261393175422195
-4.0,0.132299142030991
-3.0,0.13440245687149915
-2.0,0.1282733099007364
-1.0,0.1230157733487538
0.0,0.10572046541394041
1.0,0.08326810088763867
2.0,0.07192989989107608
3.0,0.05257919804804706
4.0,0.03355231009769403
5.0,0.022623128946022048
6.0,0.009402863297998663
7.0,-0.0009505607892660497
8.0,-0.0062639036476451
9.0,-0.011133623451088091
10.0,-0.014548269680147403
11.0,-0.01581369271299835
12.0,-0.01757714826733536
13.0,-0.017419124106396355
14.0,-0.01731953475877038
15.0,-0.017129074692381167
16.0,-0.01714623654400289
17.0,-0.01686293296625982
18.0,-0.01610062435375691
19.0,-0.01587053477882184
20.0,-0.014891160994364074
21.0,-0.014332742408057417
22.0,-0.014162068898207428
23.0,-0.013437848744557189
24.0,-0.013108228369251056
25.0,-0.012894767433720311
26.0,-0.011709684480998645
27.0,-0.01089771863466197
28.0,-0.009760421837679164
29.0,-0.009581584523152234
30.0,-0.008550050859993583
31.0,-0.007565678083148446
32.0,-0.0069200398538929
33.0,-0.006349296859257919
34.0,-0.005172338175832004
35.0,-0.005116192127925197
36.0,-0.005172936728326718
37.0,-0.00452281874909731
38.0,-0.00461168246466504
39.0,-0.0045998918551675375
40.0,-0.004420938222341393
41.0,-0.00409698252054508
42.0,-0.003966758475752527
43.0,-0.004027683566413346
44.0,-0.003584882791515252
45.0,-0.002864440665185779
46.0,-0.002395601018577975
47.0,-0.001510769696236586
48.0,-0.0011505635804317082
49.0,-0.0007153268069294031
50.0,-5.3301147858389984e-05
51.0,0.00034350466975995465
52.0,-0.0002490433768719538
53.0,-2.147921105148925e-05
54.0,3.670749526579146e-05
55.0,-0.00028909690478292824
56.0,-0.0004337290957039247
57.0,-0.000588399350213601
58.0,-0.001391735558246919
59.0,-0.0017444028484738076
60.0,-0.0016279492150813035
61.0,-0.0015079510962920546
62.0,-0.0019294130855430427
63.0,-0.000959334835535227
64.0,-0.000816151103179355
65.0,-0.000673474502611713
66.0,-0.00027078221268311223
67.0,-0.0008678114386421855
68.0,-0.0009003800745324983
69.0,-0.001311781737839847
70.0,-0.0017080855294553466
71.0,-0.0015118428261864632
72.0,-0.0013474688577165706
73.0,-0.0015605780694518175
74.0,-0.001738471095865524
75.0,-0.001437160236970254
76.0,-0.0016913196261819658
77.0,-0.0015526959997249814
78.0,-0.0007210106442079676
79.0,-0.0007768942186402988
80.0,-0.0008124173308653049
81.0,0.0001051260199142149
82.0,0.0006910351280202728
83.0,0.0010453460421307884
84.0,0.00196868504453637
85.0,0.0019329754063811067
86.0,0.0016764609969939686
87.0,0.001138341613324185
88.0,0.0013854306472387392
89.0,0.0014788813755607297
90.0,0.0014886290807730497
91.0,0.0010221530930137473
92.0,0.001386320779862612
93.0,0.0018454140071377037
94.0,0.0015961014454392193
95.0,0.0022045239878962786
96.0,0.003012814806647262
97.0,0.002850944127807696
98.0,0.0023122482804643386
99.0,0.0022091414332185283
100.0,0.0017238254849466748
101.0,0.0007777369227537417
102.0,0.0006639779403159072
103.0,0.001323801440360122
104.0,0.0015019301864690011
105.0,0.0021172218924319555
106.0,0.0031765532160410743
107.0,0.004133833891547102
108.0,0.004610387759377161
109.0,0.004807498248698727
110.0,0.004655787384724679
111.0,0.0038497137080565885
112.0,0.004611391974334503
113.0,0.004325103701899776
114.0,0.004323082802037083
115.0,0.005125357466569043
116.0,0.005063584274739486
117.0,0.004801619598401368
118.0,0.005282048607777743
119.0,0.005835276441479767
120.0,0.005565676307009223
121.0,0.005328785591378939
122.0,0.005128290208337466
123.0,0.004731921845893505
124.0,0.004794100222068547
125.0,0.004921672244518258
126.0,0.004233514163154664
127.0,0.004408725453056702
128.0,0.004938664439932829
129.0,0.004592003578338517
130.0,0.004833991052651199
131.0,0.004973249000986873
132.0,0.005033281173924674
133.0,0.005128690429727748
134.0,0.004099679603910764
135.0,0.004506871893465515
136.0,0.004634687415109146
137.0,0.005058900894285445
138.0,0.004669861142094694
139.0,0.0052313862160999845
140.0,0.006380636720052948
141.0,0.005939802804027146
142.0,0.005740071377189971
143.0,0.005346097548054202
144.0,0.00610964734209799
145.0,0.006030334788560758
146.0,0.004541977359769354
147.0,0.004443068780980089
148.0,0.004667589841483152
149.0,0.00392127832410444
